original_index	participant	content	token	lemma	tagged_token	tagged_lemma	original_file	file
147	MOT	you waved i thought you were gonna  	['you', 'waved', 'i', 'thought', 'you', 'were', 'gon', 'na']	['you', 'wave', 'i', 'think', 'you', 'be', 'gon', 'na']	[('you', 'PRP'), ('waved', 'VBD'), ('i', 'VB'), ('thought', 'VBN'), ('you', 'PRP'), ('were', 'VBD'), ('gon', 'VBG'), ('na', 'TO')]	[('you', 'PRP'), ('wave', 'VBP'), ('i', 'JJ'), ('think', 'VBP'), ('you', 'PRP'), ('be', 'VB'), ('gon', 'VBN'), ('na', 'TO')]	Dyad2-time1-condTD.txt	time1-time1-condTD
145	CHI	let's try it and see is it a bad alien   should we run away from it  	['let', 'us', 'try', 'it', 'and', 'see', 'is', 'it', 'a', 'bad', 'alien', 'should', 'we', 'run', 'away', 'from', 'it']	['let', 'u', 'try', 'it', 'and', 'see', 'be', 'it', 'a', 'bad', 'alien', 'should', 'we', 'run', 'away', 'from', 'it']	[('let', 'VB'), ('us', 'PRP'), ('try', 'VB'), ('it', 'PRP'), ('and', 'CC'), ('see', 'VB'), ('is', 'VBZ'), ('it', 'PRP'), ('a', 'DT'), ('bad', 'JJ'), ('alien', 'NN'), ('should', 'MD'), ('we', 'PRP'), ('run', 'VB'), ('away', 'RB'), ('from', 'IN'), ('it', 'PRP')]	[('let', 'VB'), ('u', 'JJ'), ('try', 'VB'), ('it', 'PRP'), ('and', 'CC'), ('see', 'VB'), ('be', 'VB'), ('it', 'PRP'), ('a', 'DT'), ('bad', 'JJ'), ('alien', 'NN'), ('should', 'MD'), ('we', 'PRP'), ('run', 'VB'), ('away', 'RB'), ('from', 'IN'), ('it', 'PRP')]	Dyad1-time1-condTD.txt	time1-time1-condTD
149	MOT	this one you ask for right  	['this', 'one', 'you', 'ask', 'for', 'right']	['this', 'one', 'you', 'ask', 'for', 'right']	[('this', 'DT'), ('one', 'CD'), ('you', 'PRP'), ('ask', 'VBP'), ('for', 'IN'), ('right', 'NN')]	[('this', 'DT'), ('one', 'CD'), ('you', 'PRP'), ('ask', 'VBP'), ('for', 'IN'), ('right', 'NN')]	Dyad2-time1-condTD.txt	time1-time1-condTD
147	CHI	okay if the bad alien if it's blue and it's red eyes with his arms down that means it is a bad alien which run away from it  	['okay', 'if', 'the', 'bad', 'alien', 'if', 'it', 'is', 'blue', 'and', 'it', 'is', 'red', 'eyes', 'with', 'his', 'arms', 'down', 'that', 'means', 'it', 'is', 'a', 'bad', 'alien', 'which', 'run', 'away', 'from', 'it']	['okay', 'if', 'the', 'bad', 'alien', 'if', 'it', 'be', 'blue', 'and', 'it', 'be', 'red', 'eye', 'with', 'his', 'arm', 'down', 'that', 'mean', 'it', 'be', 'a', 'bad', 'alien', 'which', 'run', 'away', 'from', 'it']	[('okay', 'NN'), ('if', 'IN'), ('the', 'DT'), ('bad', 'JJ'), ('alien', 'NN'), ('if', 'IN'), ('it', 'PRP'), ('is', 'VBZ'), ('blue', 'JJ'), ('and', 'CC'), ('it', 'PRP'), ('is', 'VBZ'), ('red', 'JJ'), ('eyes', 'NNS'), ('with', 'IN'), ('his', 'PRP$'), ('arms', 'NNS'), ('down', 'RP'), ('that', 'DT'), ('means', 'VBZ'), ('it', 'PRP'), ('is', 'VBZ'), ('a', 'DT'), ('bad', 'JJ'), ('alien', 'NN'), ('which', 'WDT'), ('run', 'VBP'), ('away', 'RB'), ('from', 'IN'), ('it', 'PRP')]	[('okay', 'NN'), ('if', 'IN'), ('the', 'DT'), ('bad', 'JJ'), ('alien', 'NN'), ('if', 'IN'), ('it', 'PRP'), ('be', 'VB'), ('blue', 'JJ'), ('and', 'CC'), ('it', 'PRP'), ('be', 'VB'), ('red', 'JJ'), ('eye', 'NN'), ('with', 'IN'), ('his', 'PRP$'), ('arm', 'NN'), ('down', 'RP'), ('that', 'DT'), ('mean', 'VB'), ('it', 'PRP'), ('be', 'VB'), ('a', 'DT'), ('bad', 'JJ'), ('alien', 'NN'), ('which', 'WDT'), ('run', 'VBP'), ('away', 'RB'), ('from', 'IN'), ('it', 'PRP')]	Dyad1-time1-condTD.txt	time1-time1-condTD
151	MOT	it goes against the pattern sofar  	['it', 'goes', 'against', 'the', 'pattern', 'sofar']	['it', 'go', 'against', 'the', 'pattern', 'sofar']	[('it', 'PRP'), ('goes', 'VBZ'), ('against', 'IN'), ('the', 'DT'), ('pattern', 'NN'), ('sofar', 'RB')]	[('it', 'PRP'), ('go', 'VB'), ('against', 'IN'), ('the', 'DT'), ('pattern', 'NN'), ('sofar', 'RB')]	Dyad2-time1-condTD.txt	time1-time1-condTD
149	CHI	steal no we should ask it for a gem  	['steal', 'no', 'we', 'should', 'ask', 'it', 'for', 'a', 'gem']	['steal', 'no', 'we', 'should', 'ask', 'it', 'for', 'a', 'gem']	[('steal', 'JJ'), ('no', 'DT'), ('we', 'PRP'), ('should', 'MD'), ('ask', 'VB'), ('it', 'PRP'), ('for', 'IN'), ('a', 'DT'), ('gem', 'NN')]	[('steal', 'JJ'), ('no', 'DT'), ('we', 'PRP'), ('should', 'MD'), ('ask', 'VB'), ('it', 'PRP'), ('for', 'IN'), ('a', 'DT'), ('gem', 'NN')]	Dyad1-time1-condTD.txt	time1-time1-condTD
153	MOT	what if the pattern changes  	['what', 'if', 'the', 'pattern', 'changes']	['what', 'if', 'the', 'pattern', 'change']	[('what', 'WP'), ('if', 'IN'), ('the', 'DT'), ('pattern', 'NN'), ('changes', 'NNS')]	[('what', 'WP'), ('if', 'IN'), ('the', 'DT'), ('pattern', 'NN'), ('change', 'NN')]	Dyad2-time1-condTD.txt	time1-time1-condTD
151	CHI	i don't know  	['i', 'do', 'not', 'know']	['i', 'do', 'not', 'know']	[('i', 'NNS'), ('do', 'VBP'), ('not', 'RB'), ('know', 'VB')]	[('i', 'NNS'), ('do', 'VBP'), ('not', 'RB'), ('know', 'VB')]	Dyad1-time1-condTD.txt	time1-time1-condTD
155	MOT	when you pick up the pattern it changes   doesn't matter  	['when', 'you', 'pick', 'up', 'the', 'pattern', 'it', 'changes', 'does', 'not', 'matter']	['when', 'you', 'pick', 'up', 'the', 'pattern', 'it', 'change', 'do', 'not', 'matter']	[('when', 'WRB'), ('you', 'PRP'), ('pick', 'VBP'), ('up', 'RP'), ('the', 'DT'), ('pattern', 'NN'), ('it', 'PRP'), ('changes', 'VBZ'), ('does', 'VBZ'), ('not', 'RB'), ('matter', 'VB')]	[('when', 'WRB'), ('you', 'PRP'), ('pick', 'VBP'), ('up', 'RP'), ('the', 'DT'), ('pattern', 'NN'), ('it', 'PRP'), ('change', 'VBZ'), ('do', 'VBP'), ('not', 'RB'), ('matter', 'VB')]	Dyad2-time1-condTD.txt	time1-time1-condTD
153	CHI	stolen okay  	['stolen', 'okay']	['steal', 'okay']	[('stolen', 'VBN'), ('okay', 'NNS')]	[('steal', 'NN'), ('okay', 'NN')]	Dyad1-time1-condTD.txt	time1-time1-condTD
158	MOT	terrible this is embarrassing  	['terrible', 'this', 'is', 'embarrassing']	['terrible', 'this', 'be', 'embarrass']	[('terrible', 'JJ'), ('this', 'DT'), ('is', 'VBZ'), ('embarrassing', 'VBG')]	[('terrible', 'JJ'), ('this', 'DT'), ('be', 'VB'), ('embarrass', 'NN')]	Dyad2-time1-condTD.txt	time1-time1-condTD
155	CHI	red eyes right  	['red', 'eyes', 'right']	['red', 'eye', 'right']	[('red', 'JJ'), ('eyes', 'NNS'), ('right', 'RB')]	[('red', 'JJ'), ('eye', 'NN'), ('right', 'NN')]	Dyad1-time1-condTD.txt	time1-time1-condTD
160	MOT	barely should have double that  	['barely', 'should', 'have', 'double', 'that']	['barely', 'should', 'have', 'double', 'that']	[('barely', 'RB'), ('should', 'MD'), ('have', 'VB'), ('double', 'NN'), ('that', 'IN')]	[('barely', 'RB'), ('should', 'MD'), ('have', 'VB'), ('double', 'NN'), ('that', 'IN')]	Dyad2-time1-condTD.txt	time1-time1-condTD
